BillingAccountId,BillingPeriodStart,BillingPeriodEnd,ChargePeriodStart,ChargePeriodEnd,ProviderName,ServiceName,ServiceCategory,RegionId,ResourceId,ResourceType,ChargeCategory,ChargeDescription,ConsumedQuantity,ConsumedUnit,PricingQuantity,PricingUnit,BilledCost,EffectiveCost,ListCost,Tags
akanjilal-dev-001,2026-05-01,2026-05-31,2026-05-01,2026-05-02,AWS,Amazon Bedrock,AI and Machine Learning,us-east-1,arn:aws:bedrock:us-east-1::model/claude,Bedrock-Model-Inference,Usage,On-demand model inference,45000.0,Inferences,45000.0,Inferences,45.0,45.0,51.75,"{""team"": ""ml-platform"", ""project"": ""fraud-scoring"", ""model"": ""claude"", ""env"": ""prod""}"
akanjilal-dev-001,2026-05-01,2026-05-31,2026-05-01,2026-05-02,AWS,Amazon EC2,Compute,us-east-1,i-0idlep4dgpu01,p4d.24xlarge,Usage,Accelerated compute (GPU) on-demand,24,GPU-Hours,24,GPU-Hours,786.5424,786.5424,904.5238,"{""team"": ""research"", ""project"": ""experiments"", ""env"": ""dev"", ""utilization_pct"": ""2""}"
akanjilal-dev-001,2026-05-01,2026-05-31,2026-05-01,2026-05-02,AWS,Amazon EC2,Compute,us-east-1,i-0activeg5gpu1,g5.xlarge,Usage,Accelerated compute (GPU) on-demand,24,GPU-Hours,24,GPU-Hours,24.144,24.144,27.7656,"{""team"": ""ml-platform"", ""project"": ""fraud-scoring"", ""env"": ""prod"", ""utilization_pct"": ""76""}"
akanjilal-dev-001,2026-05-01,2026-05-31,2026-05-01,2026-05-02,AWS,Amazon S3,Storage,us-east-1,akanjilal-ml-datasets,S3-Standard,Usage,Standard storage,512,GB-Month,512,GB-Month,11.5,11.5,13.225,"{""team"": ""ml-platform"", ""project"": ""fraud-scoring"", ""env"": ""prod""}"
akanjilal-dev-001,2026-05-01,2026-05-31,2026-05-02,2026-05-03,AWS,Amazon Bedrock,AI and Machine Learning,us-east-1,arn:aws:bedrock:us-east-1::model/claude,Bedrock-Model-Inference,Usage,On-demand model inference,52000.0,Inferences,52000.0,Inferences,52.0,52.0,59.8,"{""team"": ""ml-platform"", ""project"": ""fraud-scoring"", ""model"": ""claude"", ""env"": ""prod""}"
akanjilal-dev-001,2026-05-01,2026-05-31,2026-05-02,2026-05-03,AWS,Amazon EC2,Compute,us-east-1,i-0idlep4dgpu01,p4d.24xlarge,Usage,Accelerated compute (GPU) on-demand,24,GPU-Hours,24,GPU-Hours,786.5424,786.5424,904.5238,"{""team"": ""research"", ""project"": ""experiments"", ""env"": ""dev"", ""utilization_pct"": ""2""}"
akanjilal-dev-001,2026-05-01,2026-05-31,2026-05-02,2026-05-03,AWS,Amazon EC2,Compute,us-east-1,i-0activeg5gpu1,g5.xlarge,Usage,Accelerated compute (GPU) on-demand,24,GPU-Hours,24,GPU-Hours,24.144,24.144,27.7656,"{""team"": ""ml-platform"", ""project"": ""fraud-scoring"", ""env"": ""prod"", ""utilization_pct"": ""76""}"
akanjilal-dev-001,2026-05-01,2026-05-31,2026-05-02,2026-05-03,AWS,Amazon S3,Storage,us-east-1,akanjilal-ml-datasets,S3-Standard,Usage,Standard storage,512,GB-Month,512,GB-Month,12.2,12.2,14.03,"{""team"": ""ml-platform"", ""project"": ""fraud-scoring"", ""env"": ""prod""}"
akanjilal-dev-001,2026-05-01,2026-05-31,2026-05-03,2026-05-04,AWS,Amazon Bedrock,AI and Machine Learning,us-east-1,arn:aws:bedrock:us-east-1::model/claude,Bedrock-Model-Inference,Usage,On-demand model inference,48000.0,Inferences,48000.0,Inferences,48.0,48.0,55.2,"{""team"": ""ml-platform"", ""project"": ""fraud-scoring"", ""model"": ""claude"", ""env"": ""prod""}"
akanjilal-dev-001,2026-05-01,2026-05-31,2026-05-03,2026-05-04,AWS,Amazon EC2,Compute,us-east-1,i-0idlep4dgpu01,p4d.24xlarge,Usage,Accelerated compute (GPU) on-demand,24,GPU-Hours,24,GPU-Hours,786.5424,786.5424,904.5238,"{""team"": ""research"", ""project"": ""experiments"", ""env"": ""dev"", ""utilization_pct"": ""2""}"
akanjilal-dev-001,2026-05-01,2026-05-31,2026-05-03,2026-05-04,AWS,Amazon EC2,Compute,us-east-1,i-0activeg5gpu1,g5.xlarge,Usage,Accelerated compute (GPU) on-demand,24,GPU-Hours,24,GPU-Hours,24.144,24.144,27.7656,"{""team"": ""ml-platform"", ""project"": ""fraud-scoring"", ""env"": ""prod"", ""utilization_pct"": ""76""}"
akanjilal-dev-001,2026-05-01,2026-05-31,2026-05-03,2026-05-04,AWS,Amazon S3,Storage,us-east-1,akanjilal-ml-datasets,S3-Standard,Usage,Standard storage,512,GB-Month,512,GB-Month,11.8,11.8,13.57,"{""team"": ""ml-platform"", ""project"": ""fraud-scoring"", ""env"": ""prod""}"
akanjilal-dev-001,2026-05-01,2026-05-31,2026-05-04,2026-05-05,AWS,Amazon Bedrock,AI and Machine Learning,us-east-1,arn:aws:bedrock:us-east-1::model/claude,Bedrock-Model-Inference,Usage,On-demand model inference,55000.0,Inferences,55000.0,Inferences,55.0,55.0,63.25,"{""team"": ""ml-platform"", ""project"": ""fraud-scoring"", ""model"": ""claude"", ""env"": ""prod""}"
akanjilal-dev-001,2026-05-01,2026-05-31,2026-05-04,2026-05-05,AWS,Amazon EC2,Compute,us-east-1,i-0idlep4dgpu01,p4d.24xlarge,Usage,Accelerated compute (GPU) on-demand,24,GPU-Hours,24,GPU-Hours,786.5424,786.5424,904.5238,"{""team"": ""research"", ""project"": ""experiments"", ""env"": ""dev"", ""utilization_pct"": ""2""}"
akanjilal-dev-001,2026-05-01,2026-05-31,2026-05-04,2026-05-05,AWS,Amazon EC2,Compute,us-east-1,i-0activeg5gpu1,g5.xlarge,Usage,Accelerated compute (GPU) on-demand,24,GPU-Hours,24,GPU-Hours,24.144,24.144,27.7656,"{""team"": ""ml-platform"", ""project"": ""fraud-scoring"", ""env"": ""prod"", ""utilization_pct"": ""76""}"
akanjilal-dev-001,2026-05-01,2026-05-31,2026-05-04,2026-05-05,AWS,Amazon S3,Storage,us-east-1,akanjilal-ml-datasets,S3-Standard,Usage,Standard storage,512,GB-Month,512,GB-Month,12.5,12.5,14.375,"{""team"": ""ml-platform"", ""project"": ""fraud-scoring"", ""env"": ""prod""}"
